# -- green
811	50011	100
812	50012	100
813	50013	100
814	50014	100
815	50015	100
816	50016	100
817	50017	100
818	50018	100
819	50019	100

# -- pink
821	50021	100
822	50022	100
823	50023	100
824	50024	100
825	50025	100
826	50026	100
827	50027	100
828	50028	100
829	50029	100

# -- sky blue
831	50031	100
832	50032	100
833	50033	100
834	50034	100
835	50035	100
836	50036	100
837	50037	100
838	50038	100
839	50039	100

# -- white
841	50041	100
842	50042	100
843	50043	100
844	50044	100
845	50045	100
846	50046	100
847	50047	100
848	50048	100
849	50049	100

# BRICK SHADOW
1131	11031	100
1132	11032	100
1133	11033	100
1134	11034	100
